County,Name,Web Address,Physical Address,Phone Number,Email Address,Ages listed,Age categories,ABA Services (Yes or No),Early Intervention,Speech Therapy,Physical Therapy,Occupational Therapy,Community Transitions,Community Living,Parenting Education,Advocacy Support,IEP Support Services,In-School Services,Support Groups,Residential Services,Medical Provider,Hospital Treatments,Mentorship,Referrals,Other (List the other services)
Alamance,The ARC Autism Now,https://autismnow.org/local/the-arc-of-alamance-county/,"The Arc of Alamance County PO Box 1275 Burlington, NC 27216-1275",336-513-4333,info@thearcal.org,,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,"Early Detection, Implementation of Healthcare Reform"
Alamance,Alamance Partnership for Children,http://www.alamancechildren.org/,"2322 River Road, Burlington, NC 27217-8359",336-513-0063,info@alamancechildren.org,2-4,preschoolers,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,
Alamance,"Lifespan, Inc.",https://www.lifespanservices.org/what-we-do/,"1511 Shopton Road, Suite A, Charlotte, NC 28217",704-944-5100,,,"children, adults",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
Alamance,Autism Team at Alamance County Schools,https://www.abss.k12.nc.us/domain/92,,,,,,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,
Alamance,Autism Society - Alamance County Chapter Meeting,https://www.autismsociety-nc.org/events/alamance-county-chapter-interest-meeting/,"5121 KingdomWay, Suite 100, Raleigh, NC 27607","800-442-2762, ext. 3035",jcoulter@autismsociety-nc.org,0+,"infants, toddlers, preschoolers, children, adolescents, adults",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,
Alamance,The Arc of Alamance County,https://autismnow.org/local/the-arc-of-alamance-county/,"126 S Main St, Graham, NC 27253",336-513-4333,info@thearcal.org,,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
Alamance,"A-O Civitans Annual Halloween ""Hoot on the Farm"" Event",https://aocivitan.weebly.com/,"2806 Old 87 Elon, NC 27244",N/A,N/A,0+,"infants, toddlers, preschoolers, children, adolescents, adults",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Alamance,TEACCH - Chapel Hill Center,https://teacch.com/regional-centers/chapel-hill-teacch-center/,"100 Renee Lynne Court, Carrboro, NC 27510",919-966-5156,TEACCH@unc.edu,,0+,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,
Alamance,Cardinal Innovations Healthcare,https://www.cardinalinnovations.org/,"2929 Crouse Ln., Suite B, Burlington, NC 27215",336-513-4222,ICD-10@cardinalinnovations.org,,,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,"Medicaid, Employment support"
Alamance,Family Support Network of Central NC,http://www.fsncc.org/,"801 Green Valley Rd, Greensboro, NC 27408",336-832-6507,support@fsncc.org,,,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,
Alamance,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/contact/cdsa,"122 N. Elm St., Suite 400 Greensboro, NC 27401",336-334-5601,N/A,0-3,"infants, toddlers, preschoolers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,"Food Assistance, Developmental Assessments"
Alamance,North Carolina Therapeutic Riding Center,https://www.nctrcriders.org/,"4705 Nicks Road, Mebane, NC 27302",919-304-1009,info@nctrcriders.org,,"children, adults",No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,
Alexander,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/contact/cdsa,"145-A West Parker Rd, Morganton, NC 28655",828-433-5171,N/A,0-3,"infants, toddlers, preschoolers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,"Food Assistance, Developmental Assessments"
Alleghany ,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/contact/cdsa,"2359 Hwy 105, Boone, NC 28607",828-265-5391,N/A,0-3,"infants, toddlers, preschoolers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,"Food Assistance, Developmental Assessments"
Anson,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/,"10 Parker Lane, PO Box 4359 Pinehurst, NC 28374 (Suite 1)",910-295-3133,jean.frye@dhhs.nc.gov,0-3,"Infants, toddlers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,"Food Assistance, Developmental Assessments"
Ashe,Ashe Delevopment Day School,https://www.facebook.com/AsheDaySchool/,"522 Academy Street, Jerfferson NC, 28640",336-846-7791,,0-16,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,
Ashe,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/contact/cdsa,"2359 Hwy 105, Boone, NC 28607",828-265-5391,N/A,0-3,"infants, toddlers, preschoolers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,
Avery,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/contact/cdsa,"2359 Hwy 105, Boone, NC 28607",828-265-5391,N/A,0-3,"infants, toddlers, preschoolers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,
